mae	mse	rmse	r2	correlation	mean_ratio	median_ratio	valid_windows	total_windows	country	subtype	total_sequences	total_cases
0.0	0.0	0.0	1.0	1.0	0.9999999959796844	0.9999999994814814	73	121	new zealand	AH3	657.0	2124.0
0.0	0.0	0.0	1.0	1.0	0.999999997553915	0.9999999992230215	41	121	new zealand	BYAM	219.0	1907.1516379725413
0.0	0.0	0.0	1.0	1.0	0.9999999991534892	0.9999999992716739	56	121	new zealand	AH1N12009	295.0	983.0
0.0	0.0	0.0	1.0	1.0	0.9999999855824878	0.999999997393108	62	121	new zealand	BVIC	162.0	1412.8483620274587
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999994004989	0.9999999994705882	21	121	guyana	AH1N12009	61.0	160.0
							0	121	guyana	BYAM	1.0	3.0
0.0	0.0	0.0	1.0	1.0	0.9999999993453068	0.999999999241245	17	121	guyana	AH3	59.0	161.0
0.0	0.0	0.0	1.0	0.9999999999999999	0.99999997824762	0.999999991857143	12	121	guyana	BVIC	19.0	10.0
0.0	0.0	0.0	1.0	1.0	0.9999999995929726	0.9999999995	15	121	malta	AH1N12009	25.0	2559.0
							0	121	malta	BVIC	0.0	510.5
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999998017378	0.9999999998205329	14	121	malta	AH3	32.0	1690.0
0.0	0.0	0.0	1.0	1.0	0.9999999988593445	0.9999999988165007	7	121	malta	BYAM	16.0	1081.5
0.0	0.0	0.0	1.0	1.0	0.9999999996188249	0.9999999997037037	37	121	timor-leste	AH1N12009	41.0	419.0
0.0	0.0	0.0	1.0	1.0	0.9999999986509815	0.9999999992307692	60	121	timor-leste	AH3	138.0	675.0
							0	121	timor-leste	BVIC	55.0	0.0
0.0	0.0	0.0	1.0	1.0	0.9999999991377552	0.9999999991428571	7	121	timor-leste	BYAM	5.0	13.0
0.0	0.0	0.0	1.0	1.0	0.9999999965296181	0.9999999961818181	9	121	zambia	BYAM	14.0	297.5
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999991813737	0.9999999994285714	67	121	zambia	AH1N12009	218.0	717.0
0.0	0.0	0.0	1.0	0.9999999999999998	0.9999999977483364	0.9999999986666667	25	121	zambia	BVIC	155.0	344.5
0.0	0.0	0.0	1.0	0.9999999999999999	0.9999999993101025	0.9999999994465709	88	121	zambia	AH3	305.0	1076.0
							0	121	anguilla	AH3	2.0	2.0
							0	121	anguilla	BYAM	1.0	1.0
							0	121	anguilla	AH1N12009	1.0	1.0
0.0	0.0	0.0	1.0	1.0	0.9999999986561402	0.9999999989999999	19	121	trinidad and tobago	AH3	44.0	45.0
0.0	0.0	0.0	1.0	1.0	0.9999999992653532	0.9999999995	37	121	trinidad and tobago	AH1N12009	33.0	310.0
0.0	0.0	0.0	1.0	1.0	0.9999999850803248	0.9999999889600001	11	121	trinidad and tobago	BVIC	44.0	10.0
0.0	0.0	0.0	1.0	1.0	0.9999999859083337	0.9999999890000001	20	121	trinidad and tobago	BYAM	11.0	15.0
0.0	0.0	0.0	1.0	1.0	0.9999999990783284	0.9999999994545454	71	121	tunisia	AH3	166.0	1053.0
0.0	0.0	0.0	1.0	1.0	0.9999999996403096	0.9999999998085106	63	121	tunisia	AH1N12009	155.0	1502.0
0.0	0.0	0.0	1.0	1.0	0.99999999444269	0.9999999985659341	22	121	tunisia	BVIC	44.0	85.33181818181819
0.0	0.0	0.0	1.0	1.0	0.9999999983615763	0.9999999989579882	18	121	tunisia	BYAM	22.0	94.66818181818182
