country	total_sequences	total_cases	subtypes_count	subtypes	windows_with_data	match_type
new zealand	1333.0	6427.0	5	AH3, BYAM, AH1N12009, BVIC, BNOTDETERMINED	171	high_accuracy
guyana	140.0	334.0	4	AH1N12009, BYAM, AH3, BVIC	42	high_accuracy
malta	73.0	5841.0	4	AH1N12009, BVIC, AH3, BYAM	6	high_accuracy
timor-leste	239.0	1107.0	4	AH1N12009, AH3, BVIC, BYAM	53	high_accuracy
zambia	692.0	2435.0	4	BYAM, AH1N12009, BVIC, AH3	116	high_accuracy
anguilla	4.0	4.0	3	AH3, BYAM, AH1N12009	3	high_accuracy
trinidad and tobago	132.0	380.0	4	AH3, AH1N12009, BVIC, BYAM	51	high_accuracy
tunisia	387.0	2735.0	5	AH3, AH1N12009, BVIC, BNOTDETERMINED, BYAM	68	high_accuracy
saint kitts and nevis	14.0	13.0	4	AH1N12009, BYAM, BVIC, AH3	11	high_accuracy
angola	0.0	16.0	1	AH1N12009	0	high_accuracy
lebanon	904.0	2030.0	6	AH1N12009, BYAM, AH3, BVIC, BNOTDETERMINED, AOTHER_SUBTYPE	122	high_accuracy
central african republic	30.0	430.0	4	AH1N12009, BNOTDETERMINED, AH3, BVIC	18	high_accuracy
maldives	370.0	2972.0	4	AH3, AH1N12009, BVIC, BYAM	75	high_accuracy
montenegro	179.0	1879.0	4	AH1N12009, AH3, BVIC, BYAM	37	high_accuracy
british virgin islands	1.0	2.0	1	AH1N12009	1	high_accuracy
belarus	34.0	8120.0	5	BVIC, AH3, BYAM, AH1N12009, BNOTDETERMINED	11	high_accuracy
saint vincent and the grenadines	22.0	189.0	4	AH1N12009, BYAM, AH3, BVIC	12	high_accuracy
bulgaria	741.0	4094.0	4	AH3, AH1N12009, BVIC, BYAM	88	high_accuracy
cambodia	1441.0	3163.0	6	AH3, BVIC, AH1N12009, BYAM, BNOTDETERMINED, AOTHER_SUBTYPE	189	high_accuracy
japan	7838.0	52844.0	6	AH3, BVIC, BYAM, AH1N12009, AOTHER_SUBTYPE, BNOTDETERMINED	301	high_accuracy
