gisaid_country	flunet_country	accuracy_score	match_type
namibia	namibia	100.0	high_accuracy
macedonia	macedonia	100.0	high_accuracy
iraq	iraq	100.0	high_accuracy
somalia	somalia	100.0	high_accuracy
japan	japan	100.0	high_accuracy
honduras	honduras	100.0	high_accuracy
luxembourg	luxembourg	100.0	high_accuracy
ethiopia	ethiopia	100.0	high_accuracy
malaysia	malaysia	100.0	high_accuracy
kenya	kenya	100.0	high_accuracy
montserrat	montserrat	100.0	high_accuracy
british virgin islands	british virgin islands	100.0	high_accuracy
maldives	maldives	100.0	high_accuracy
argentina	argentina	100.0	high_accuracy
south georgia and the south sandwich islands	georgia	100.0	high_accuracy
lesotho	lesotho	100.0	high_accuracy
zimbabwe	zimbabwe	100.0	high_accuracy
madagascar	madagascar	100.0	high_accuracy
costa rica	costa rica	100.0	high_accuracy
sudan	sudan	100.0	high_accuracy
cyprus	cyprus	100.0	high_accuracy
kyrgyzstan	kyrgyzstan	100.0	high_accuracy
kosovo	kosovo	100.0	high_accuracy
belize	belize	100.0	high_accuracy
kazakhstan	kazakhstan	100.0	high_accuracy
kuwait	kuwait	100.0	high_accuracy
tunisia	tunisia	100.0	high_accuracy
hungary	hungary	100.0	high_accuracy
malta	malta	100.0	high_accuracy
ukraine	ukraine	100.0	high_accuracy
angola	angola	100.0	high_accuracy
dominica	dominica	100.0	high_accuracy
mauritania	mauritania	100.0	high_accuracy
bhutan	bhutan	100.0	high_accuracy
guadeloupe	guadeloupe	100.0	high_accuracy
niger	niger	100.0	high_accuracy
colombia	colombia	100.0	high_accuracy
mauritius	mauritius	100.0	high_accuracy
spain	spain	100.0	high_accuracy
morocco	morocco	100.0	high_accuracy
trinidad and tobago	trinidad and tobago	100.0	high_accuracy
sweden	sweden	100.0	high_accuracy
cayman islands	cayman islands	100.0	high_accuracy
bosnia and herzegovina	bosnia and herzegovina	100.0	high_accuracy
qatar	qatar	100.0	high_accuracy
georgia	georgia	100.0	high_accuracy
ecuador	ecuador	100.0	high_accuracy
armenia	armenia	100.0	high_accuracy
guatemala	guatemala	100.0	high_accuracy
vietnam	vietnam	100.0	high_accuracy
lithuania	lithuania	100.0	high_accuracy
jordan	jordan	100.0	high_accuracy
austria	austria	100.0	high_accuracy
slovenia	slovenia	100.0	high_accuracy
jamaica	jamaica	100.0	high_accuracy
united states	united states	100.0	high_accuracy
fiji	fiji	100.0	high_accuracy
bermuda	bermuda	100.0	high_accuracy
suriname	suriname	100.0	high_accuracy
australia	australia	100.0	high_accuracy
mexico	mexico	100.0	high_accuracy
germany	germany	100.0	high_accuracy
togo	togo	100.0	high_accuracy
dominican republic	dominican republic	100.0	high_accuracy
tanzania	tanzania	100.0	high_accuracy
united kingdom	united kingdom	100.0	high_accuracy
timor-leste	timor-leste	100.0	high_accuracy
sri lanka	sri lanka	100.0	high_accuracy
israel	israel	100.0	high_accuracy
nigeria	nigeria	100.0	high_accuracy
bolivia	bolivia	100.0	high_accuracy
saint kitts and nevis	saint kitts and nevis	100.0	high_accuracy
china	china	100.0	high_accuracy
lao	lao	100.0	high_accuracy
india	india	100.0	high_accuracy
bahrain	bahrain	100.0	high_accuracy
iran	iran	100.0	high_accuracy
syrian arab republic	syrian arab republic	100.0	high_accuracy
lebanon	lebanon	100.0	high_accuracy
yemen	yemen	100.0	high_accuracy
bahamas	bahamas	100.0	high_accuracy
croatia	croatia	100.0	high_accuracy
el salvador	el salvador	100.0	high_accuracy
bangladesh	bangladesh	100.0	high_accuracy
nicaragua	nicaragua	100.0	high_accuracy
moldova	republic of moldova	100.0	high_accuracy
saint martin (french part)	saint martin (french part)	100.0	high_accuracy
chile	chile	100.0	high_accuracy
burkina faso	burkina faso	100.0	high_accuracy
ghana	ghana	100.0	high_accuracy
estonia	estonia	100.0	high_accuracy
afghanistan	afghanistan	100.0	high_accuracy
egypt	egypt	100.0	high_accuracy
uzbekistan	uzbekistan	100.0	high_accuracy
tajikistan	tajikistan	100.0	high_accuracy
grenada	grenada	100.0	high_accuracy
turkey	turkey	100.0	high_accuracy
french guiana	french guiana	100.0	high_accuracy
saudi arabia	saudi arabia	100.0	high_accuracy
uganda	uganda	100.0	high_accuracy
bulgaria	bulgaria	100.0	high_accuracy
papua new guinea	papua new guinea	100.0	high_accuracy
venezuela	venezuela	100.0	high_accuracy
korea	korea	100.0	high_accuracy
thailand	thailand	100.0	high_accuracy
paraguay	paraguay	100.0	high_accuracy
singapore	singapore	100.0	high_accuracy
uruguay	uruguay	100.0	high_accuracy
turks and caicos islands	turks and caicos islands	100.0	high_accuracy
romania	romania	100.0	high_accuracy
mongolia	mongolia	100.0	high_accuracy
norway	norway	100.0	high_accuracy
russian federation	russian federation	100.0	high_accuracy
seychelles	seychelles	100.0	high_accuracy
iceland	iceland	100.0	high_accuracy
albania	albania	100.0	high_accuracy
italy	italy	100.0	high_accuracy
finland	finland	100.0	high_accuracy
united arab emirates	united arab emirates	100.0	high_accuracy
barbados	barbados	100.0	high_accuracy
canada	canada	100.0	high_accuracy
nepal	nepal	100.0	high_accuracy
azerbaijan	azerbaijan	100.0	high_accuracy
panama	panama	100.0	high_accuracy
turkmenistan	turkmenistan	100.0	high_accuracy
myanmar	myanmar	100.0	high_accuracy
haiti	haiti	100.0	high_accuracy
unknown	unknown	100.0	high_accuracy
switzerland	switzerland	100.0	high_accuracy
senegal	senegal	100.0	high_accuracy
portugal	portugal	100.0	high_accuracy
new zealand	new zealand	100.0	high_accuracy
serbia	serbia	100.0	high_accuracy
aruba	aruba	100.0	high_accuracy
brunei	brunei	100.0	high_accuracy
martinique	martinique	100.0	high_accuracy
oman	oman	100.0	high_accuracy
brazil	brazil	100.0	high_accuracy
belarus	belarus	100.0	high_accuracy
france	france	100.0	high_accuracy
zambia	zambia	100.0	high_accuracy
south africa	south africa	100.0	high_accuracy
slovakia	slovakia	100.0	high_accuracy
montenegro	montenegro	100.0	high_accuracy
cuba	cuba	100.0	high_accuracy
denmark	denmark	100.0	high_accuracy
pakistan	pakistan	100.0	high_accuracy
netherlands	netherlands (kingdom of the)	100.0	high_accuracy
philippines	philippines	100.0	high_accuracy
guyana	guyana	100.0	high_accuracy
poland	poland	100.0	high_accuracy
saint vincent and the grenadines	saint vincent and the grenadines	100.0	high_accuracy
central african republic	central african republic	100.0	high_accuracy
mozambique	mozambique	100.0	high_accuracy
rwanda	rwanda	100.0	high_accuracy
belgium	belgium	100.0	high_accuracy
anguilla	anguilla	100.0	high_accuracy
new caledonia	new caledonia	100.0	high_accuracy
indonesia	indonesia	100.0	high_accuracy
ireland	ireland	100.0	high_accuracy
peru	peru	100.0	high_accuracy
greece	greece	100.0	high_accuracy
cambodia	cambodia	100.0	high_accuracy
sierra leone	sierra leone	100.0	high_accuracy
gabon	gabon	100.0	high_accuracy
czech republic	czech republic	100.0	high_accuracy
saint lucia	saint lucia	100.0	high_accuracy
latvia	latvia	100.0	high_accuracy
cameroon	cameroon	100.0	high_accuracy
mali	mali	100.0	high_accuracy
congo	democratic republic of congo	100.0	high_accuracy
algeria	algeria	100.0	high_accuracy
republic of congo	democratic republic of congo	75.0	high_accuracy
libya	libya	100.0	high_accuracy
